Number;Start time in milliseconds;End time in milliseconds;"Text"
499;2683675;2686043;"( Laughter )"
500;2687346;2689580;"Is this your first time
in the north, your Grace?"
501;2689615;2692751;"Yes.
Lovely country."
502;2696457;2699859;"I'm sure it's very grim
after King's Landing."
503;2701129;2703230;"I remember how scared I was
when Ned brought me"
504;2703264;2705499;"up here
for the first time."
505;2707635;2709369;"Hello, little dove."
506;2710571;2712739;"But you are a beauty."
507;2712773;2714874;"- How old are you?
- 13, your Grace."
508;2714909;2717643;"You're tall.
Still growing?"
509;2717678;2719578;"I think so, your Grace."
510;2719613;2721847;"And have you bled yet?"
511;2726719;2728419;"No, your Grace."
512;2729789;2731957;"Your dress,
did you make it?"
513;2733259;2736595;"Such a talent.
You must make something for me."
514;2738365;2741467;"I hear we might share
a grandchild someday."
515;2741502;2743737;"I hear the same."
516;2743771;2745839;"Your daughter will
do well in the capital."
517;2745873;2749577;"Such a beauty shouldn't stay hidden
up here forever."
518;2765661;2768964;"- Your pardon.
- I hear we might be neighbors soon."
519;2768998;2770665;"- I hope it's true.
- Yes,"
520;2770700;2772567;"the King has honored me
with his offer."
521;2772601;2774102;"I'm sure we'll have
a tournament"
522;2774137;2776104;"to celebrate your new title--
if you accept."
523;2776139;2778341;"It would be good
to have you on the field."
524;2778375;2780543;"The competition
has become a bit stale."
525;2780577;2783313;"- I don't fight in tournaments.
- No?"
526;2783347;2784848;"Getting
a little old for it?"
527;2784882;2788519;"( Chuckles )
I don't fight
in tournaments"
528;2788553;2791054;"because when I fight
a man for real"
529;2791089;2793323;"I don't want him to know
what I can do."
530;2795159;2796959;"Well said."
531;2797994;2800929;"- ( Men laughing )
- Arya!"
532;2800963;2803565;"It's not funny!"
533;2803599;2806334;"<i>She always</i>
<i>does this.</i>"
534;2806368;2808236;"<i>This was</i>
<i>my favorite dress.</i>"
535;2808270;2811539;"She always does it
and it's not funny!"
536;2811574;2813508;"Robb:
Time for bed."
537;2814978;2816612;"( Groans )"
538;2824455;2827524;"Ned:
I'm a Northman."
539;2827558;2829960;"I belong here with you,
not down south"
540;2829994;2832496;"in that rats' nest
they call a capital."
541;2833531;2836265;"I <i>won't</i> let him
take you."
542;2837734;2840202;"The king
takes what he wants."
543;2840236;2842804;"( Huffs )
That's why he's King."
544;2844273;2847708;"I'll say,
"listen, fat man.""
545;2847743;2849076;"( Laughs )"
546;2849110;2851612;""You are not taking
my husband anywhere."
547;2851646;2854048;"He belongs to me now.""
548;2857753;2859754;"How did he get so fat?"
549;2859788;2862623;"He only stops eating
when it's time for a drink."
550;2864059;2865459;"<i>( Knocks )</i>"
551;2865493;2868262;"Man:
<i>It's Maester Luwin,</i>
<i>my Lord.</i>"
552;2869765;2872167;"Send him in."
553;2874003;2876171;"Pardon, my Lord,
my Lady."
554;2876206;2879041;"A rider in the night..."
555;2879075;2881177;"from your sister."
556;2888852;2891521;"- Stay.
- This was sent from the Eyrie."
557;2891555;2894090;"( Door closes )"
558;2897394;2899762;"What's she doing
at the Eyrie?"
559;2899796;2902431;"She hasn't been back there
since her wedding."
560;2910941;2912909;"What news?"
561;2914245;2917014;"<i>She's fled</i>
<i>the capital.</i>"
562;2919150;2921819;"She says Jon Arryn
was murdered."
563;2921854;2923822;"By the Lannisters."
564;2923856;2926625;"She says the King
is in danger."
565;2926659;2928928;"She's fresh widowed, Cat."
